conversation,agency
"user: Tere! Ma saan aru, et Ubuntu tarkvara paigaldusega seoses ID-kaardi kasutamine on üsna oluline. Kuidas ma kõige paremini ID-tarkvara Ubuntu-sse saan paigaldada?
assistant: Tere! Jah, see on oluline. Parim viis on automaatskripti abil. Sa saad selle siin: https://installer.id.ee/media/install-scripts/install-open-eid.sh. Eesmärk on avada Terminal ja navigeerida faili kataloogi, kuhu see on salvestatud. Näiteks, kui sa salvestasid selle ‘Downloads’ kataloogi, siis käsk on ‘cd /home/kasutajanimi/Downloads’. Pärast seda, skripti käivitamine 'sh install-open-eid.sh' käskuga. Kas sa salvestusid selle faili kuhagi või ei ole sa sellele veel jõudnud?",output_ID.ee
"user: Tere! Ma olen kuulnud, et saab täiskasvanuna Eesti kodakondsust taotlema. Kuidas see menetlus käib umbes?
assistant: Tere! Jah, see on võimalik. Pärast kodakondsuse taotluse esitamist saadetakse dokumendid Vabariigi Valitsusele. Nad teevad otsust, kas kodakondsus antakse.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma olen välisriigi kodanik ja mul on Eesti elamisluba. Mis on välismaalase pass ja kas mul on selleks õigus?
assistant: Tere! Välismaalase pass on Eesti Vabariigi poolt välismaalasele antav reisidokument. Selleks on sul õigus, kui sul on kehtiv Eesti elamisluba või elamisõigus ning sa suudad tõestada, et sul puudub välisriigi reisidokument ja sa ei saa seda ka hankida.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Kas te saate öelda, kus asub Rakvere politseijaoskond?
assistant: Muidugi! Rakvere politseijaoskond asub aadressil Fr. R. Kreutzwaldi 5a, 44314 Rakvere. See on väga lihtne kohaks leida!",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma arvan, et ID tarkvara on jäänud natuke vanaks. Miks on nii oluline, et seda uuendada?
assistant: Tere! On õige jutt. ID tarkvara peab perioodiliselt uuendama, sest see on turvalisuse ja selle tööefektiivsuse tagamine. Peaasi, et tarkvara oleks uusim versioon, et vältida kriitilisi turvariskeid. Kui tarkvara ei ole uusim, ei saa sellega kindlalt digitaalselt allkirjastada või kontrollida juba antud allkirjade kehtivust.",output_ID.ee
"user: Tere! Ma olen kuulnud, et Tarbijakaitseamet menetleb kaebusi kauplejatega tekkinud vaidluste puhul. Kuidas see menetlus üldiselt käib, kui ma esitan avalduse?
assistant: Tere! Jah, see on õige. Kui esitad Tarbijakaitseametile avalduse, saad teavitus 21 tööpäeva jooksul, et avaldus on menetlusse võetud. Seejärel edastatakse avaldus kauplejale, et nad saaksid anda selgitusi ja leida lahendust vaidlusele. Sinule saadetakse ka täiendav teavitus selle kohta.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Kas te saate öelda, mis RIA DigiDoc on?
assistant: Tere! RIA DigiDoc on mobiilirakendus, mis on mõeldud ID-kaardi, Smart-ID või mobiil-ID abil dokumente digitaalselt allkirjastama. See on nagu ID-tarkvara, aga nutitelefonis!",output_ID.ee
"user: Tere! Ma sooviksin teada, kuidas ma saaksin Politsei- ja Piirivalveametilt (PPA) mõnda dokumenti saada. Milline on selleks õige viis?
assistant: Tere! Selleks tuleb pöörduda PPA poole e-posti teel või postiaadressil Pärnu mnt 139, 15060, Tallinn. Kui sa saadad faili e-posti teel, palume krüpteerida need sertifikaadi „Politsei- ja Piirivalveamet (PPA) 70008747“ abil turvalisuse tagamiseks.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulsin midagi tarbijavaidluste komisjoni kohta. Mis see on ja millega saab seal abi?
assistant: Tere! Tarbijavaidluste komisjon on koht, kus saab abi, kui sul on probleeme kauplejaga – näiteks kui sa ei saa oma raha tagasi ostetud toote eest või kui kaupleja ei ole täitnud oma lubadusi. Komisjon aitab vaidlusi lahendada, kui kauplejaga ise kokkulepe saavutada ei õnnestu.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma nägin, et Politsei- ja Piirivalveamet kasutab sotsiaalmeediat. Kas teil on Facebooki leht?
assistant: Jah, meil on! Meie peamine Facebooki leht on https://www.facebook.com/politseijapiirivalveamet/. Meie Põhja, Lääne ja Lõuna prefektuuridele on ka oma Facebooki lehed. Kas sa tahad teada nende lingid?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma olen kuulnud, et on oluline kontrollida isikukaitsevahendite ohutust. Kust ma peaksin alustama nende kohta infot leidmiseks?
assistant: Tere! Oluline küsimus. Alustuseks on oluline teada, et isikukaitsevahendite ohutust reguleerib Euroopa Parlamendi ja Nõukogu määrus (EL) 2016/425. See määrus kehtib täismahus alates 21. aprillist 2018. Lisainfot saate ka Eesti Standardimis- ja Akrediteerimiskeskuse koduleheküljelt www.evs.ee, kus on erinevad standardid olenevalt tootekategooriast.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma kaotanud oma isikutunnistuse ja tahan teada, kust ma saan selle kohta politseisse pöörduda Jõgeva läheduses.
assistant: Tere! Jõgeva politseijaoskond asub aadressil Suur 1, 48306 Jõgeva. Nad on avatud esmaspäevast reedeni kell 9.00-17.00. Kas saaksite mulle kinnitada, kas see on teile sobiv asukoht?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulsin midagi ohtlike toodete kohta. Mis see tähendab ja kes sellega tegelda oskab?
assistant: Tere! See tähendab, et mõned tooted võivad tarbijale ohtu kujutada. Tarbijakaitse ja Tehnilise Järevalve Amet (TTJA) tegelda sellega. EL-is on ka süsteem nimega Safety Gate, mille kaudu järelevalveasutused vahetavad infot ohtlike toodete kohta, et need turult kiiresti eemaldada.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma kuulsin midagi digiligipääsetavuse kohta Tarbijakaitse ja Tehnilise Järevalve Ametiga. Mis see täpselt tähendab?
assistant: Tere! Digiligipääsetavus tähendab seda, et avaliku sektori digiteenused ja -informatsioon peavad olema kättesaadavad ja kasutatavad kõikidele inimestele, olenemata nende võimekustest. See on Tarbijakaitse ja Tehnilise Järevalve Ameti (TTJA) tähelepanu all, et tagada kõikidele inimestele ligipääsetavad digiteenused.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma nägin Politsei- ja Piirivalveameti veebilehel mingit ligipääsetavuse teatis. Mis see tähendab?
assistant: Tere! Ligipääsetavuse teatis on avalik dokument, mis teavitab kasutajaid veebilehe ligipääsetavuse olukorra kohta. See tähendab, et seal on kirjas, kui hästi on veebileht tehtud nii, et seda saaks kasutada inimestel, kel on näiteks puuete või erinevate vajadustega.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma tahaksin elamisloakaarti taotleda. Kust ma selleks pöörata saaksin ja mida ma kaasa võtta tuleks?
assistant: Tere! Elamisloakaardi taotlemiseks saad pöörduda Politsei- ja Piirivalveameti teenindusse. Kindlasti võta kaasa isikut tõendav dokument. Soovi korral saad aja ka broneerida nende veebilehel: https://broneering.politsei.ee/",output_Politsei-_ja_Piirivalveamet
"user: Tere! Mis on seikluspark ja milleks see sobilik on?
assistant: Seikluspark on koht aktiivseks ja sportlikuks puhkuseks, kus igaüks saab oma võimeid proovile panna, sõltumata varasemast kogemusest. See sobib inimestele, kes otsivad midagi põnevat ja väljakutvaid tegevusi!",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
